,simplified,traditional,pinyin,meaning,hsk,audio_file
1394,榴槤的气味很特殊。,榴槤的氣味很特殊。,Liúlián de qìwèi hěn tèshū.,Durians have a very distinctive smell.,5,1394.mp3
1395,他很敦厚老实。,他很敦厚老實。,Tā hěn dūnhòu lǎoshi.,He's very honest and sincere.,5,1395.mp3
1396,我出生在80年代。,我出生在80年代。,Wǒ chūshēng zài bāshí niándài.,I was born in the 1980s.,5,1396.mp3
1397,士兵们正在操练。,士兵們正在操練。,Shìbīngmen zhèng zài cāoliàn.,The soldiers are performing a drill.,5,1397.mp3
1398,从上周以来，他一直很忙。,從上周以來，他一直很忙。,"Cóng shàng zhōu yǐlái, tā yìzhí hěn máng.",He has been busy since last week.,5,1398.mp3
1399,屋子里很黑。,屋子裏很黑。,Wūzi lǐ hěn hēi.,It's very dark in the room.,5,1399.mp3
1400,工厂制造产品。,工廠製造產品。,Gōngchǎng zhìzào chǎnpǐn.,Factories manufacture products.,5,1400.mp3
1401,我国的退休年龄是六十岁。,我國的退休年齡是六十歲。,Wǒ guó de tuìxiū niánlíng shì liùshí suì.,The retirement age in my country is 60.,5,1401.mp3
1402,我从昨天开始戒烟。,我從昨天開始戒煙。,Wǒ cóng zuótiān kāishǐ jièyān.,I've stopped smoking as of yesterday.,5,1402.mp3
1403,他用钻石戒指向我求婚。,他用鑽石戒指向我求婚。,Tā yòng zuànshí jièzhi xiàng wǒ qiúhūn.,He proposed to me with a diamond ring.,5,1403.mp3
1404,这个洞很深。,這個洞很深。,Zhège dòng hěn shēn.,This hole is very deep.,5,1404.mp3
1405,这是我的原创作品。,這是我的原創作品。,Zhè shì wǒ de yuánchuàng zuòpǐn.,This is an original work I created.,5,1405.mp3
1406,过马路要遵守交通规则。,過馬路要遵守交通規則。,Guò mǎlù yào zūnshǒu jiāotōng guīzé.,"When crossing the road, we have to obey the traffic regulations.",5,1406.mp3
1407,奶奶两年前去世了。,奶奶兩年前去世了。,Nǎinai liǎng nián qián qùshì le.,My grandmother died two years ago.,5,1407.mp3
1408,过马路要遵守交通规则。,過馬路要遵守交通規則。,Guò mǎlù yào zūnshǒu jiāotōng guīzé.,"When crossing the road, we have to obey the traffic regulations.",5,1408.mp3
1409,他想说服他们。,他想說服他們。,Tā xiǎng shuìfú tāmen.,He is trying to persuade/convince them.,5,1409.mp3
1410,新问题不断产生。,新問題不斷產生。,Xīn wèntí búduàn chǎnshēng.,New problems are continuing to emerge.,5,1410.mp3
1411,这些布很漂亮。,這些布很漂亮。,Zhèixiē bù hěn piàoliang.,The cloth is very beautiful.,5,1411.mp3
1412,人类已经迈向了科技时代。,人類已經邁向了科技時代。,Rénlèi yǐjīng mài xiàng le kējì shídài.,Mankind has entered a technological era.,5,1412.mp3
1413,两岸应该多多接触。,兩岸應該多多接觸。,Liǎng'Àn yīnggāi duōduō jiēchù.,There should be more contact across the strait.,5,1413.mp3
1414,他是卡车司机。,他是卡車司機。,Tā shì kǎchē sījī.,He's a truck driver.,5,1414.mp3
1415,吃喜酒送红包是老规矩。,吃喜酒送紅包是老規矩。,Chī xǐjiǔ sòng hóngbāo shì lǎoguīju.,It is an old tradition to give a red envelope when one attends a wedding banquet.,5,1415.mp3
1416,他们是人事部门的员工。,他們是人事部門的員工。,Tāmen shì rénshì bùmén de yuángōng.,They are working in the personnel department.,5,1416.mp3
1417,工作基本完成了。,工作基本完成了。,Gōngzuò jīběn wánchéng le.,The work is basically finished.,5,1417.mp3
1418,我们在作化学分析。,我們在作化學分析。,Wǒmen zài zuò huàxué fēnxī.,We're performing chemical analysis.,5,1418.mp3
1419,我被派到贫困地区工作。,我被派到貧困地區工作。,Wǒ bèi pàidào pínkùn dìqū gōngzuò.,I was sent to work in poor areas.,5,1419.mp3
1420,交通事故导致塞车。,交通事故導致塞車。,Jiāotōng shìgù dǎozhì sāichē.,The traffic accident has caused a traffic jam.,5,1420.mp3
1421,她对待客人很友好。,她對待客人很友好。,Tā duìdài kèren hěn yǒuhǎo.,She's friendly to the guests.,5,1421.mp3
1422,主持人宣布会议开始。,主持人宣佈會議開始。,Zhǔchírén xuānbù huìyì kāishǐ.,The host announced the opening of the meeting.,5,1422.mp3
1423,教室的活动空间很小。,教室的活動空間很小。,Jiàoshì de huódòng kōngjiān hěn xiǎo.,There is little space for students to move around in the classroom.,5,1423.mp3
1424,我念小学五年级。,我唸小學五年級。,Wǒ niàn xiǎoxué wǔ niánjí.,I'm in the fifth grade in elementary school.,5,1424.mp3
1425,我很想念你。,我很想念你。,Wǒ hěn xiǎng niàn nǐ.,I miss you very much.,5,1425.mp3
1426,他改变了工作程序。,他改變了工作程序。,Tā gǎibiànle gōngzuò chéngxù.,He modified the job procedures.,5,1426.mp3
1427,王 小姐 有时 吃 红椒炒肉。,王 小姐 有時 吃 紅椒炒肉。,Wáng xiǎojiě yǒushí chī hóngjiāo chǎoròu.,Ms. Wang sometimes eats pork fried with red pepper.,5,1427.mp3
1428,他的情绪很激动。,他的情緒很激動。,Tā de qíngxù hěn jīdòng.,He's in an excited mood.,5,1428.mp3
1429,他创造了新纪录。,他創造了新紀錄。,Tā chuàngzàole xīn jìlù.,He's set a new record.,5,1429.mp3
1430,公司的经营范围很广。,公司的經營範圍很廣。,Gōngsī de jīngyíng fànwéi hěn guǎng.,The company's business operations are broad in scope.,5,1430.mp3
1431,中华人民共和国简称中国。,中華人民共和國簡稱中國。,Zhōnghuá Rénmín Gònghéguó jiǎnchēng Zhōngguó.,The People's Republic of China is shortened to China.,5,1431.mp3
1432,她 决定 亲自 去 一 趟。,她 決定 親自 去 一 趟。,Tā juédìng qīnzì qù yí tàng.,She decided to go in person.,5,1432.mp3
1433,妹妹去海边捡石头。,妹妹去海邊撿石頭。,Mèimei qù hǎibiān jiǎn shítou.,My younger sister has gone to the seashore to collect stones.,5,1433.mp3
1434,我终于到达了山顶。,我終於到達了山頂。,Wǒ zhōngyú dàodále shāndǐng.,I finally got to the top of the mountain.,5,1434.mp3
1435,这篇文章没有细节。,這篇文章沒有細節。,Zhè piān wénzhāng méiyǒu xìjié.,This article doesn't have details.,5,1435.mp3
1436,你这么说，很有道理。,你這麽說，很有道理。,"Nǐ zhème shuō, hěn yǒu dàoli.",Saying it this way makes it sound very logical.,5,1436.mp3
1437,请不要大声叫喊。,請不要大聲叫喊。,Qǐng búyào dà shēng jiàohǎn.,Please don't shout.,5,1437.mp3
1438,这些物品都是手工制作的。,這些物品都是手工製作的。,Zhèxiē wùpǐn dōu shì shǒugōng zhìzuò de.,These articles are all hand-made.,5,1438.mp3
1439,老师和学生相处得很好。,老師和學生相處得很好。,Lǎoshī hé xuésheng xiāngchǔ de hěn hǎo.,The teachers and students get on well with each other.,5,1439.mp3
1440,我在国外度过了假期。,我在國外度過了假期。,Wǒ zài guówài dùguòle jiàqī.,I spent the holidays abroad.,5,1440.mp3
1441,长城是七大奇迹之一。,長城是七大奇跡之一。,Chángchéng shì qī dà qíjì zhī yī.,The Great Wall is one of the seven wonders of the world.,5,1441.mp3
1442,媒体炒作那个话题。,媒體炒作那個話題。,Méitǐ chǎozuò nèige huàtí.,The media hypes up that topic.,5,1442.mp3
1443,草地上有两匹马。,草地上有兩匹馬。,Cǎodì shàng yǒu liǎng pǐ mǎ.,There are two horses in the meadow.,5,1443.mp3
1444,他们建立了合作关系。,他們建立了合作關係。,Tāmen jiànlìle hézuò guānxi.,They established a cooperative relationship.,5,1444.mp3
1445,我无所谓。,我無所謂。,Wǒ wúsuǒwèi.,I don't care.,5,1445.mp3
1446,选举的结果表达了人民的意愿。,選舉的結果表達了人民的意願。,Xuǎnjǔ de jiéguǒ biǎodá le rénmín de yìyuàn.,The result of the election expressed the people's will.,5,1446.mp3
1447,那位客人很神秘。,那位客人很神祕。,Nà wèi kèren hěn shénmì.,That guest is mysterious.,5,1447.mp3
1448,希望我的愿望会实现。,希望我的願望會實現。,Xīwàng wǒ de yuànwàng huì shíxiàn.,I hope my dream will come true.,5,1448.mp3
1449,我喜欢看政治新闻。,我喜歡看政治新聞。,Wǒ xǐhuan kàn zhèngzhì xīnwén.,I like to read political news.,5,1449.mp3
1450,这里有一个巨大的蛋糕。,這裏有一個巨大的蛋糕。,Zhèli yǒu yī gè jùdà de dàngāo.,Here's a giant cake.,5,1450.mp3
1451,我们要与对手竞争。,我們要與對手競爭。,Wǒmen yào yǔ duìshǒu jìngzhēng.,We must compete with our opponents.,5,1451.mp3
1452,看足球比赛很刺激。,看足球比賽很刺激。,Kàn zúqiú bǐsài hěn cìjī.,Watching football games is thrilling.,5,1452.mp3
1453,ATM凭卡取钱。,ATM憑卡取錢。,ATM píng kǎ qǔqián.,One can withdraw cash from an ATM machine using a card.,5,1453.mp3
1454,他掌握着公司的大权。,他掌握著公司的大權。,Tā zhǎngwòzhe gōngsī de dàquán.,He holds the power in the company.,5,1454.mp3
1455,孩子们在玩玩具。,孩子們在玩玩具。,Háizǐmen zài wán wánjù.,The children are playing with their toys.,5,1455.mp3
1456,购物让女人满足。,購物讓女人滿足。,Gòuwù ràng nǚrén mǎnzú.,Shopping can satisfy a woman./Shopping makes the women satisfied,5,1456.mp3
1457,他是个反传统的人。,他是個反傳統的人。,Tā shì gè fǎn chuántǒng de rén.,He's an unconventional man.,5,1457.mp3
1458,你不需要重复的表达。,你不需要重複的表達。,Nǐ bù xūyào chóngfù de biǎodá.,You don't need to repeat yourself.,5,1458.mp3
1459,他在欣赏这幅作品。,他在欣賞這幅作品。,Tā zài xīnshǎng zhè fú zuòpǐn.,He's appreciating the work.,5,1459.mp3
1460,人人都应当捍卫世界和平。,人人都應當捍衛世界和平。,Rénrén dōu yīngdāng hànwèi shìjiè hépíng.,It's everyone's duty to defend world peace.,5,1460.mp3
1461,他在说明自己的理论。,他在說明自己的理論。,Tā zài shuōmíng zìjǐ de lǐlùn.,He's explaining his theory.,5,1461.mp3
1462,这个摄影角度不对。,這個攝影角度不對。,Zhège shèyǐng jiǎodù búduì.,This isn't the right angle to photograph from.,5,1462.mp3
1463,他年纪不大，却是个秃头。,他年紀不大，卻是個禿頭。,"Tā niánjì bù dà, què shì ge tūtóu.","He is not old, yet he is bald.",5,1463.mp3
1464,她在观察昆虫。,她在觀察昆蟲。,Tā zài guānchá kūnchóng.,She's observing the insects.,5,1464.mp3
1465,老鼠在偷吃面包。,老鼠在偷吃麵包。,Lǎoshǔ zài tōuchī miànbāo.,The mouse is stealing the bread.,5,1465.mp3
1466,成龙 很 有名。,成龍 很 有名。,Chéng Lóng hěn yǒumíng.,Jackie Chan is very famous.,5,1466.mp3
1467,大雪掩盖着道路。,大雪掩蓋著道路。,Dàxuě yǎngàizhe dàolù.,Heavy snow has covered the roads.,5,1467.mp3
1468,他们在移动家具。,他們在移動傢俱。,Tāmen zài yídòng jiājù.,They're moving the furniture.,5,1468.mp3
1469,地球在不断地演变。,地球在不斷地演變。,Dìqiú zài bùduàn de yǎnbiàn.,The earth is constantly evolving.,5,1469.mp3
1470,她幻想自己是公主。,她幻想自己是公主。,Tā huànxiǎng zìjǐ shì gōngzhǔ.,She's imagining that she is a princess.,5,1470.mp3
1471,他们从山坡上滑下来了。,他們從山坡上滑下來了。,Tāmen cóng shānpō shàng huá xiàlái le.,They're sliding down the slope.,5,1471.mp3
1472,她正在思考问题。,她正在思考問題。,Tā zhèng zài sīkǎo wèntí.,She's thinking.,5,1472.mp3
1473,这家工厂被关闭了。,這家工廠被關閉了。,Zhè jiā gōngchǎng bèi guānbì le.,The factory was closed.,5,1473.mp3
1474,她幻想自己是公主。,她幻想自己是公主。,Tā huànxiǎng zìjǐ shì gōngzhǔ.,She's imagining that she is a princess.,5,1474.mp3
1475,他们向右甩胳膊。,他們向右甩胳膊。,Tāmen xiàngyòu shuǎi gēbo.,They swing their arms to the right.,5,1475.mp3
1476,我们建立了伙伴关系。,我們建立了夥伴關係。,Wǒmen jiànlìle huǒbàn guānxi.,We've established a partnership.,5,1476.mp3
1477,不能插队。,不能插隊。,Bù néng chāduì.,Don't cut in line.,5,1477.mp3
1478,我达到目的了。,我達到目的了。,Wǒ dádào mùdì le.,I achieved the goal.,5,1478.mp3
1479,这朵花很漂亮。,這朵花很漂亮。,Zhè duǒ huā hěn piàoliang.,This flower is very pretty.,5,1479.mp3
1480,你的汉语程度如何？,你的漢語程度如何？,Nǐ de Hànyǔ chéngdù rúhé?,What's your level of Chinese?,5,1480.mp3
1481,核桃被压碎了。,核桃被壓碎了。,Hétao bèi yāsuì le.,The walnuts have been crushed to pieces.,5,1481.mp3
1482,生命在于运动。,生命在於運動。,Shēngmìng zàiyú yùndòng.,Life depends on sports.,5,1482.mp3
1483,这件事给了他一个教训。,這件事給了他一個教訓。,Zhèjiàn shì gěi le tā yíge jiàoxùn.,This situation gave him a lesson.,5,1483.mp3
1484,公司赋予他很大的权力。,公司賦予他很大的權力。,Gōngsī fùyǔ tā hěn dà de quánlì.,The company has given him a lot of power.,5,1484.mp3
1485,他的成绩很稳定。,他的成績很穩定。,Tā de chéngjì hěn wěndìng.,He has stable school grades.,5,1485.mp3
1486,我们要尊敬老人。,我們要尊敬老人。,Wǒmen yào zūnjìng lǎorén.,We should respect the elderly.,5,1486.mp3
1487,玻璃碎了。,玻璃碎了。,Bōli suì le.,The glass shattered.,5,1487.mp3
1488,我们在分析数据。,我們在分析數據。,Wǒmen zài fēnxī shùjù.,We're analyzing the data.,5,1488.mp3
1489,他很坚强可以承受任何打击。,他很堅強可以承受任何打擊。,Tā hěn jiānqiáng kěyǐ chéngshòu rènhé dǎjī.,He is very strong and can take any attack.,5,1489.mp3
1490,他们是人事部门的员工。,他們是人事部門的員工。,Tāmen shì rénshì bùmén de yuángōng.,They are working in the personnel department.,5,1490.mp3
1491,小孩子对很多东西都很好奇。,小孩子對很多東西都很好奇。,Xiǎo háizi duì hěn duō dōngxi dōu hěn hàoqí.,Kids are curious about many things.,5,1491.mp3
1492,他们砍了一棵树。,他們砍了一棵樹。,Tāmen kǎnle yī kē shù.,They've cut down a tree.,5,1492.mp3
1493,这个假设不成立。,這個假設不成立。,Zhège jiǎshè bù chénglì.,This assumption doesn't hold water.,5,1493.mp3
1494,这块土地很干。,這塊土地很乾。,Zhè kuài tǔdì hěn gān.,This land is very dry.,5,1494.mp3
1495,曹 经理 不 能 相信 他 的 借口。,曹 經理 不 能 相信 他 的 借口。,Cáo jīnglǐ bù nénɡ xiāngxìn tā de jièkǒu.,Manager Cao can't believe his excuse.,5,1495.mp3
1496,他抱怨工作太难。,他抱怨工作太難。,Tā bàoyuàn gōngzuò tài nán.,He complains that the work is too difficult.,5,1496.mp3
1497,他承受着很大的工作压力。,他承受著很大的工作壓力。,Tā chéngshòuzhe hěn dà de gōngzuò yālì.,He's under a lot of pressure at work.,5,1497.mp3
1498,年轻人追求时尚。,年輕人追求時尚。,Niánqīngrén zhuīqiú shíshàng.,"Young people try to be trendy (lit., ""pursue the current fashion"").",5,1498.mp3
1499,病毒引起疾病。,病毒引起疾病。,Bìngdú yǐnqǐ jíbìng.,Viruses cause disease.,5,1499.mp3
1500,我准备更新我的电脑设备。,我準備更新我的電腦設備。,Wǒ zhǔnbèi gēngxīn wǒ de diànnǎo shèbèi.,I'm planning to update my computer equipment.,5,1500.mp3
1501,与 硬 相对 的 是 软。,與 硬 相對 的 是 軟。,Yǔ yìng xiāngduì de shì ruǎn.,Hard is the opposite of soft.,5,1501.mp3
1502,他娶了她。,他娶了她。,Tā qǔle tā.,He married her.,5,1502.mp3
1503,你的要求很过分！,你的要求很過分！,Nǐ de yāoqiú hěn guòfèn!,You're asking for too much!,5,1503.mp3
1504,他投资失败了。,他投資失敗了。,Tā tóuzī shībài le.,His investment was a failure.,5,1504.mp3
1505,我们的看法一致。,我們的看法一致。,Wǒmen de kànfǎ yīzhì.,We are identical in our views.,5,1505.mp3
1506,她很有魅力。,她很有魅力。,Tā hěn yǒu mèilì.,She has a lot of charm.  ((She has a great deal of charm.)),5,1506.mp3
1507,实验部分很重要。,實驗部分很重要。,Shíyàn bùfen hěn zhòngyào.,The experimental part is very important.,5,1507.mp3
1508,他们恋爱了。,他們戀愛了。,Tāmen liàn'ài le.,They're in love.,5,1508.mp3
1509,媒体炒作那个话题。,媒體炒作那個話題。,Méitǐ chǎozuò nèige huàtí.,The media hypes up that topic.,5,1509.mp3
1510,这是一个水果市场。,這是一個水果市場。,Zhè shì yī gè shuǐguǒ shìchǎng.,This is a fruit market.,5,1510.mp3
1511,各个成员很团结。,各個成員很團結。,Gègè chéngyuán hěn tuánjié.,All the members get along well together.,5,1511.mp3
1512,中国有很多古建筑。,中國有很多古建築。,Zhōngguó yǒu hěn duō gǔ jiànzhù.,There are many ancient buildings in China.,5,1512.mp3
1513,他在《天鹅湖》中扮演王子。,他在《天鵝湖》中扮演王子。,"Tā zài ""Tiān'é Hú"" zhōng bànyǎn wángzǐ.","He played the prince in ""Swan Lake.""",5,1513.mp3
1514,火灾造成的损失严重。,火災造成的損失嚴重。,Huǒzāi zàochéng de sǔnshī yánzhòng.,The fire caused a lot of damage.,5,1514.mp3
1515,他积极的投入工作。,他積極的投入工作。,Tā jījí de tóurù gōngzuò.,He actively threw himself into his work.,5,1515.mp3
1516,小麦成熟了。,小麥成熟了。,Xiǎomài chéngshú le.,The wheat has ripened.,5,1516.mp3
1517,他表明了他的态度。,他表明了他的態度。,Tā biǎomíngle tā de tàidu.,He clearly indicated his attitude.,5,1517.mp3
1518,墙上挂着一幅画像。,牆上掛著一幅畫像。,Qiáng shàng guàzhe yì fú huàxiàng.,There's a portrait hanging on the wall.,5,1518.mp3
1519,小狗喜欢吃骨头。,小狗喜歡吃骨頭。,Xiǎogǒu xǐhuan chī gǔtou.,The little dog loves bones.,5,1519.mp3
1520,桌子上有很多工具。,桌子上有很多工具。,Zhuōzi shàng yǒu hěn duō gōngjù.,There are many tools on the desk.,5,1520.mp3
1521,他踩了爸爸一脚。,他踩了爸爸一腳。,Tā cǎi le bàba yī jiǎo.,He stepped on his father's foot.,5,1521.mp3
1522,假如天晴了，我就和你去爬山。,假如天晴了，我就和你去爬山。,"Jiǎrú tiān qíng le, wǒ jiù hé nǐ qù páshān.","If the weather clears, I will go climbing with you.",5,1522.mp3
1523,我们根据合同来办事。,我們根據合同來辦事。,Wǒmen gēnjù hétong lái bànshì.,We conduct our business in accordance with the contract.,5,1523.mp3
1524,公司员工想要争取加薪。,公司員工想要爭取加薪。,Gōngsī yuángōng xiǎng yào zhēngqǔ jiā xīn.,The employees want to obtain a pay raise.,5,1524.mp3
1525,他的胸口有点痛。,他的胸口有點痛。,Tā de xiōngkǒu yǒudiǎn tòng.,He has a little pain in his chest.,5,1525.mp3
1526,这食品具有当地风味。,這食品具有當地風味。,Zhè shípǐn jùyǒu dāngdì fēngwèi.,This food has a local flavor.,5,1526.mp3
1527,出口在左边。,出口在左邊。,Chūkǒu zài zuǒbian.,The entrance is on the left.,5,1527.mp3
1528,我 怕 蛇。,我 怕 蛇。,Wǒ pà shé.,I am afraid of snakes.,5,1528.mp3
1529,这匹马真乖。,這匹馬真乖。,Zhè pǐ mǎ zhēn guāi.,This horse is very well-behaved.,5,1529.mp3
1530,问题来自系统内部。,問題來自系統內部。,Wèntí láizì xìtǒng nèibù.,The problems comes from within the system.,5,1530.mp3
1531,这个姿势不容易。,這個姿勢不容易。,Zhège zīshì bù róngyì.,This is a difficult posture.,5,1531.mp3
1532,他的眼睛瞎了。,他的眼睛瞎了。,Tā de yǎnjing xiā le.,He's blind.,5,1532.mp3
1533,我直接走向卧室。,我直接走向臥室。,Wǒ zhíjiē zǒuxiàng wòshì.,I go straight toward the bedroom.,5,1533.mp3
1534,她的手指很漂亮。,她的手指很漂亮。,Tā de shǒuzhǐ hěn piàoliang.,Her fingers are very beautiful.,5,1534.mp3
1535,哎呀，你看那是什么?,哎呀，你看那是什麼?,"Āiyā, nǐ kàn nà shì shénme?","Hey, look!  What's that?",5,1535.mp3
1536,我有教师资格。,我有教師資格。,Wǒ yǒu jiàoshī zīgé.,I'm qualified as a teacher.,5,1536.mp3
1537,他工作很累，甚至想辞职。,他工作很累，甚至想辭職。,"Tā gōngzuò hěn lèi, shènzhì xiǎng cízhí.",He was so tired because of his work that he even wanted to quit.,5,1537.mp3
1538,这么做不合法。,這麼做不合法。,Zhème zuò bù héfǎ.,It's illegal to do so.,5,1538.mp3
1539,警察在搜索逃犯。,警察在搜索逃犯。,Jǐngchá zài sōusuǒ táofàn.,The police are searching for an escaped criminal.,5,1539.mp3
1540,工厂生产产品。,工廠生產產品。,Gōngchǎng shēngchǎn chǎnpǐn.,The factory makes products.,5,1540.mp3
1541,七月四日是美国的独立日。,七月四日是美國的獨立日。,Qīyuè sì rì shì Měiguó de dúlì rì.,The fourth of July is Independence Day in the U.S.,5,1541.mp3
1542,我们进入了决赛。,我們進入了決賽。,Wǒmen jìnrùle juésài.,We made it to the finals.,5,1542.mp3
1543,我们的生活离不开网络。,我們的生活離不開網絡。,Wǒmen de shēnghuó lí bu kāi wǎngluò.,The Internet is an inseparable part of our lives.,5,1543.mp3
1544,她感到头晕。,她感到頭暈。,Tā gǎndào tóuyūn.,She feels dizzy.,5,1544.mp3
1545,新议员首次公开露面。,新議員首次公開露面。,Xīn yìyuán shǒucì gōngkāi lòumiàn.,The new legislators made their first public appearance.,5,1545.mp3
1546,请说明你的观点。,請說明你的觀點。,Qǐng shuōmíng nǐ de guāndiǎn.,Please explain your point of view.,5,1546.mp3
1547,他们互相交换名片。,他們互相交換名片。,Tāmen hùxiāng jiāohuàn míngpiàn.,They're exchanging their name cards.,5,1547.mp3
1548,他们相互拥抱。,他們相互擁抱。,Tāmen xiānghù yōngbào.,They hugged each other.,5,1548.mp3
1549,带上伞吧，万一要下雨呢。,帶上傘吧，萬一要下雨呢。,"Dài shàng sǎn ba, wànyī yào xià yǔ ne.",Bring an umbrella in case it rains.,5,1549.mp3
1550,这项发明促进了这家公司的发展。,這項發明促進了這家公司的發展。,Zhèxiàng fāmíng cùjìn le zhèjiā gōngsī de fāzhǎn.,This invention accelerated this company's development.,5,1550.mp3
1551,今天有什么重大新闻？,今天有什麼重大新聞？,Jīntiān yǒu shénme zhòngdà xīnwén?,Is there any big news today?,5,1551.mp3
1552,餐厅名是夫妻两个人名字的组合。,餐廳名是夫妻兩個人名字的組合。,Cāntīng míng shì fūqī liǎng gè rén míngzi de zǔhé.,The restaurant's name is a combination of the husband and wife's first names.,5,1552.mp3
1553,毛泽东的思想影响了很多人。,毛澤東的思想影響了很多人。,Máo Zédōng de sīxiǎng yǐngxiǎng le hěn duō rén.,Mao Zedong's philosophies influenced many people.,5,1553.mp3
1554,他针对这件事发表看法。,他針對這件事發表看法。,Tā zhēnduì zhèjiàn shì fābiǎo kànfǎ.,He expressed his views on this matter.,5,1554.mp3
1555,具体应该怎么做？,具體應該怎麼做？,Jùtǐ yīnggāi zěnme zuò?,What exactly should we do?,5,1555.mp3
1556,他是我们部门的领导。,他是我們部門的領導。,Tā shì wǒmen bùmén de lǐngdǎo.,He is our department leader.,5,1556.mp3
1557,你的文章没有主题。,你的文章沒有主題。,Nǐ de wénzhāng méiyǒu zhǔtí.,Your article doesn't have a theme.,5,1557.mp3
1558,她的牙齿很白。,她的牙齒很白。,Tā de yáchǐ hěn bái.,Her teeth are very white.,5,1558.mp3
1559,湖的周围环绕着很多树。,湖的周圍環繞著很多樹。,Hú de zhōuwéi huánràozhe hěn duō shù.,There are many trees around the lake.,5,1559.mp3
1560,邓 主任 认为 这 个 会议 很 重要。,鄧 主任 認為 這 個 會議 很 重要。,Dèng zhǔrèn rènwéi zhège huìyì hěn zhòngyào.,Director Deng considers this meeting to be important.,5,1560.mp3
1561,她会驾驶汽车。,她會駕駛汽車。,Tā huì jiàshǐ qìchē.,She can drive a car.,5,1561.mp3
1562,这是我父亲遗留下来的财产。,這是我父親遺留下來的財產。,Zhè shì wǒ fùqin yíliú xiàlái de cáichǎn.,This is property that was left by my father.,5,1562.mp3
1563,我们是好朋友，从来不吵架。,我們是好朋友，從來不吵架。,"Wǒmen shì hǎo péngyou, cónglái bù chǎojià.","We are good friends, we never quarrel.",5,1563.mp3
1564,他是高级管理人才。,他是高級管理人才。,Tā shì gāojí guǎnlǐ réncái.,He is a senior management executive.,5,1564.mp3
1565,我公司向日本出口儿童服装。,我公司向日本出口兒童服裝。,Wǒ gōngsī xiàng Rìběn chūkǒu értóng fúzhuāng.,Our company exports children's clothes to Japan.,5,1565.mp3
1566,买股票是要担风险的。,買股票是要擔風險的。,Mǎi gǔpiào shì yào dānfēngxiǎn de.,You take a risk when you buy stock.,5,1566.mp3
1567,我想去欧洲旅行。,我想去歐洲旅行。,Wǒ xiǎng qù Ōuzhōu lǚxíng.,I want to travel in Europe.,5,1567.mp3
1568,路被挡住了。,路被擋住了。,Lù bèi dǎngzhù le.,The street was blocked off.,5,1568.mp3
1569,这个错误造成了严重的后果。,這個錯誤造成了嚴重的後果。,Zhège cuòwù zàochéngle yánzhòng de hòuguǒ.,The mistake resulted in serious consequences.,5,1569.mp3
1570,这个孩子的个性很强。,這個孩子的個性很強。,Zhège háizi de gèxìng hěn qiáng.,This child has a strong personality.,5,1570.mp3
1571,梁 先生 擅长 与人 交往。,梁 先生 擅長 與人 交往。,Liáng xiānsheng shàncháng yǔ rén jiāowǎng.,Mr. Liang is good with people.,5,1571.mp3
1572,夫妻应该避免争吵。,夫妻應該避免爭吵。,Fūqī yīnggāi bìmiǎn zhēngchǎo.,Husbands and wives should avoid quarrelling.,5,1572.mp3
1573,我们立即出发吧。,我們立即出發吧。,Wǒmen lìjí chūfā ba.,Let's get going right away.,5,1573.mp3
1574,这批产品包装好了。,這批產品包裝好了。,Zhè pī chǎnpǐn bāozhuāng hǎo le.,This batch of products has been packed.,5,1574.mp3
1575,你可以保留自己的意见。,你可以保留自己的意見。,Nǐ kěyǐ bǎoliú zìjǐ de yìjiàn.,You may keep your views to yourself.,5,1575.mp3
1576,她捡到了一个钱包。,她撿到了一個錢包。,Tā jiǎn dào le yīge qiánbāo.,She found a wallet on the ground.,5,1576.mp3
1577,物价持续升高。,物價持續升高。,Wùjià chíxù shēnggāo.,Prices continue to rise.,5,1577.mp3
1578,山上的人经常受到猴子骚扰。,山上的人經常受到猴子騷擾。,Shān shàng de rén jīngcháng shòudào hóuzi sāorǎo.,People living in the mountain often get harassed by monkeys.,5,1578.mp3
1579,人民采取激烈的抗议行动。,人民採取激烈的抗議行動。,Rénmín cǎiqǔ jīliè de kàngyì xíngdòng.,The people conducted aggressive demonstrations.,5,1579.mp3
1580,国旗升起来了。,國旗升起來了。,Guóqí shēng qǐlái le.,The national flag has been raised.,5,1580.mp3
1581,桌子的腿是金属的。,桌子的腿是金屬的。,Zhuōzi de tuǐ shì jīnshǔ de.,The legs of the desk are metal.,5,1581.mp3
1582,这事不合理。,這事不合理。,Zhè shì bù hélǐ.,This is not reasonable.,5,1582.mp3
1583,放假期间我要去旅游。,放假期間我要去旅遊。,Fàngjià qījiān wǒ yào qù lǚyóu.,I'm going to travel during the holidays.,5,1583.mp3
1584,房间里的光线太暗。,房間裏的光線太暗。,Fángjiān lǐ de guāngxiàn tài àn.,It's too dim in the room.,5,1584.mp3
1585,我已到了退休的年龄。,我已到了退休的年齡。,Wǒ yǐ dàole tuìxiū de niánlíng.,I've reached retirement age.,5,1585.mp3
1586,他精力充沛。,他精力充沛。,Tā jīng lì chōngpèi.,He's full of energy.,5,1586.mp3
1587,工厂生产产品。,工廠生產產品。,Gōngchǎng shēngchǎn chǎnpǐn.,The factory makes products.,5,1587.mp3
1588,你胡说。,你胡說。,Nǐ húshuō.,You are talking nonsense.,5,1588.mp3
